trial_id	phase	recruitmentstatus	actualstartdate	short_title	drug_list	drug_classes	secondaryid	studytitle	healthcondition	healthconditioncode	ext_weblink
NCT04566393	Phase 4	Available	September 28, 2020	Expanded Access to Ulixertinib (BVD-523) in Patients With Advanced MAPK Pathway-Altered Malignancies	Ulixertinib	ERK_inhibitor	ULI-EAP-100	Expanded Access to Ulixertinib (BVD-523) in Patients With Advanced MAPK Pathway-Altered Malignancies	BRAF Gene Mutation; Bladder Cancer; Cholangiocarcinoma; Colorectal Cancer; ERK Mutation; Esophageal Cancer; Gastric Cancer; Glioblastoma; HRAS Gene Mutation; Head and Neck Cancer; Hepatocellular Carcinoma; KRAS Activating Mutation; MAPK Gene Mutation; MEK Mutation; Melanoma; NRAS Gene Mutation; Non Small Cell Lung Cancer; Ovarian Cancer; Pancreatic Cancer; Small Bowel Cancer; Thyroid Cancer	DOID:0050861; DOID:10534; DOID:11054; DOID:11934; DOID:162; DOID:1781; DOID:1793; DOID:1909; DOID:2394; DOID:3068; DOID:3908; DOID:4947; DOID:5041; DOID:684	https://clinicaltrials.gov/ct2/show/NCT04566393
NCT04559555	Phase 4	Available	September 23, 2020	MAP to Provide Access to Nilotinib, for Patients With Relapsed or Refractory Philadelphia Chromosome Positive Acute Lymphoblastic Leukemia	Nilotinib	BCR-ABL1_inhibitor,second_generation; KIT_inhibitor; PDGFR_inhibitor	CAMN107A2412	MAP to Provide Access to Nilotinib, for Patients With Relapsed or Refractory Philadelphia Chromosome Positive Acute Lymphoblastic Leukemia	Acute Lymphoblastic Leukemia (ALL)	POTTR:1004	https://clinicaltrials.gov/ct2/show/NCT04559555
NCT04544202	Phase 4	Available	September 10, 2020	Compassionate Use Program BRAF Mutation-positive Patients in the Adjuvant Treatment of Melanoma After Surgical Resection	Dabrafenib; Trametinib	BRAF_V600_inhibitor; MEK_inhibitor	CDRB436F2001CM	Compassionate Use Program BRAF Mutation-positive Patients in the Adjuvant Treatment of Melanoma After Surgical Resection	Adjuvant; Melanoma	DOID:1909	https://clinicaltrials.gov/ct2/show/NCT04544202
NCT04534322	Phase 4	Available	September 1, 2020	Expanded Access Program for Melphalan Flufenamide (Melflufen) in Triple Class Refractory Multiple Myeloma	Dexamethasone; Melphalan	alkylating_agent; glucocorticoid	OP-110	Expanded Access Program for Melphalan Flufenamide (Melflufen) in Triple Class Refractory Multiple Myeloma	Relapsed and/or Refractory Multiple Myeloma	DOID:9538	https://clinicaltrials.gov/ct2/show/NCT04534322
NCT04518644	Phase 4	Available	August 19, 2020	Nilotinib, for Patients With CML-CP, CML-AP, or CML-BC	Nilotinib	BCR-ABL1_inhibitor,second_generation; KIT_inhibitor; PDGFR_inhibitor	CAMN107A2411	Nilotinib, for Patients With CML-CP, CML-AP, or CML-BC	Chronic Myelogenous Leukemia (CML)	POTTR:1003	https://clinicaltrials.gov/ct2/show/NCT04518644
NCT04507503	Phase 4	Available	August 11, 2020	Expanded Access Study of TAS-120 in Patients With Advanced Cholangiocarcinoma Harboring FGFR2 Gene Rearrangements	Futibatinib	pan-FGFR_inhibitor,irreversible	TAS-120-401	Expanded Access Study of TAS-120 in Patients With Advanced Cholangiocarcinoma Harboring FGFR2 Gene Rearrangements	Advanced Cholangiocarcinoma	DOID:4947	https://clinicaltrials.gov/ct2/show/NCT04507503
NCT04507919	Phase 4	Available	August 11, 2020	Cohort, Compassionate Use Program for Patients Diagnosed With BRAF V600activating Mutation-positive Advanced NSCLC.	Dabrafenib; Trametinib	BRAF_V600_inhibitor; MEK_inhibitor	CTMT212X2002I	Cohort, Compassionate Use Program for Patients Diagnosed With BRAF V600activating Mutation-positive Advanced NSCLC.	Small Cell Lung Carcinoma	DOID:5409	https://clinicaltrials.gov/ct2/show/NCT04507919
NCT04504513	Phase 4	Available	August 7, 2020	Expanded Access to Trilaciclib for Patients Receiving Chemotherapy for Small Cell Lung Cancer	Trilaciclib	CDK4/6_inhibitor	G1T28-501	Expanded Access to Trilaciclib for Patients Receiving Chemotherapy for Small Cell Lung Cancer	Chemotherapeutic Toxicity; Myelosuppression Adult; Small Cell Lung Cancer	DOID:5409	https://clinicaltrials.gov/ct2/show/NCT04504513
NCT04501757	Phase 4	Available	August 6, 2020	Naxitamab and GM-CSF in People With Neuroblastoma	Naxitamab	anti-GD2_monoclonal_antibody	20-227	Naxitamab and GM-CSF in People With Neuroblastoma	High-Risk Neuroblastoma	DOID:769	https://clinicaltrials.gov/ct2/show/NCT04501757
NCT04489433	Phase 4	Available	July 28, 2020	Compassionate Use Program to Access Trametinib and Dabrafenib for Patients With BRAFmutation-positive Metastatic Melanoma	Dabrafenib; Trametinib	BRAF_V600_inhibitor; MEK_inhibitor	CDRB436B2005CM	Compassionate Use Program to Access Trametinib and Dabrafenib for Patients With BRAFmutation-positive Metastatic Melanoma	Melanoma	DOID:1909	https://clinicaltrials.gov/ct2/show/NCT04489433
