trial_id	trialacronym	phase	recruitmentstatus	recruitmentstate	approvaldate	actualstartdate	actualenddate	drug_list	drug_classes	combo_list	combo_classes	secondaryid	studytitle	healthcondition	postcode	ext_weblink
ACTRN12617001190392	PIT-Study	Phase 1 / Phase 2	STATUS_UNKNOWN	SA	2017-08-15			Irinotecan; Irinotecan + Panitumumab; Panitumumab; Trifluridine/Tipiracil	antimetabolite; topoisomerase_inhibitor; anti-EGFR_monoclonal_antibody + topoisomerase_inhibitor; Tipiracil Hydrochloride; anti-EGFR_monoclonal_antibody; Trifluridine; thymidine_phosphorylase_inhibitor	Irinotecan + Panitumumab; Trifluridine/Tipiracil	Tipiracil Hydrochloride; Trifluridine; anti-EGFR_monoclonal_antibody + topoisomerase_inhibitor; antimetabolite; thymidine_phosphorylase_inhibitor	None	An open label phase IB/II, non-randomised, dose-finding, safety and tolerability study of Panitumumab, Irinotecan, Trifluridine/Tipiracil in RAS wild-type patients with metastatic colorectal cancer	colorectal cancer	5042 - Bedford Park; 5000 - Adelaide; 5011 - Woodville	https://www.anzctr.org.au/TrialSearch.aspx?searchTxt=ACTRN12617001190392
ACTRN12619000566134	OXTOX	Phase 2	RECRUITING	NSW, VIC	2019-04-10	2021-01-28		Ibudilast; Ibudilast + Oxaliplatin; Oxaliplatin	platinum-based_antineoplastic_agent; PDE4_inhibitor; PDE4_inhibitor + platinum-based_antineoplastic_agent	Ibudilast + Oxaliplatin	PDE4_inhibitor + platinum-based_antineoplastic_agent	None	OXTOX: Can Oxaliplatin neurotoxicity be reduced with ibudilast in people with metastatic colorectal cancer – a phase II randomised study	Neurotoxicity caused by oxaliplatin in patients with metastatic colorectal cancer	2444 - Port Macquarie; 3128 - Box Hill; 2139 - Concord; 2747 - Kingswood; 2640 - Albury; 2500 - Wollongong; 2109 - Macquarie Park; 2065 - St Leonards; 2250 - Gosford; 2800 - Orange	https://www.anzctr.org.au/TrialSearch.aspx?searchTxt=ACTRN12619000566134
ACTRN12619001298101	ASN-002-IL	Phase 2	NOT_YET_RECRUITING	QLD	2019-09-20			Fluorouracil; Fluorouracil + Gusacitinib; Gusacitinib	Fluorouracil; SYK/JAK_inhibitor + fluoropyrimidine; SYK/JAK_inhibitor	Fluorouracil + Gusacitinib; Gusacitinib	SYK/JAK_inhibitor; SYK/JAK_inhibitor + fluoropyrimidine; Fluorouracil	SP-002	A Phase IIa Study to assess the Efficacy and Safety of ASN-002 alone and in combination with chemotherapy in adult participants with Low-Risk Basal Cell Carcinomas	Basal Cell Carcinoma; Basal Cell Nevus Syndrome (BCNS)	4000 - Brisbane	https://www.anzctr.org.au/TrialSearch.aspx?searchTxt=ACTRN12619001298101
ACTRN12620000583943	EOHC-1001-01	Phase 1 / Phase 2	RECRUITING	VIC	2020-05-20	2021-09-02		EO1001	EGFR_inhibitor,second_generation; ERBB2_inhibitor,second_generation	EO1001	EGFR_inhibitor,second_generation; ERBB2_inhibitor,second_generation	EOHC-1001-01	An ascending single and multiple dose study of the safety, tolerability, pharmacokinetics and anti-tumour activity of once-daily oral treatment with EO1001 in patients with advanced cancer.	ErbB-1(EGFR) positive cancer; ERbB-4 (HER4) positive cancer; ErbB-2(HER2) positive cancer	3168 - Clayton; 3144 - Malvern; 3004 - Melbourne	https://www.anzctr.org.au/TrialSearch.aspx?searchTxt=ACTRN12620000583943
ACTRN12620001198910	MODERN-LUNG	Phase 2	RECRUITING	NSW	2020-11-10	2021-04-15		Carboplatin; Carboplatin + Paclitaxel; Durvalumab; Paclitaxel; Radiotherapy	radiotherapy; platinum-based_antineoplastic_agent; platinum-based_antineoplastic_agent + taxane; anti-PD-L1_monoclonal_antibody; taxane	Carboplatin + Paclitaxel; Durvalumab; Radiotherapy	anti-PD-L1_monoclonal_antibody; platinum-based_antineoplastic_agent + taxane; radiotherapy	CMNDRO-2005	Phase 2 Study of a Moderately Hypofractionated Schedule of Chemoradiation followed by Immunotherapy for Unresectable Locally Advanced Non-Small Cell Lung Cancer	lung cancer	2148 - Blacktown; 2560 - Campbelltown; 2145 - Westmead; 2298 - Waratah; 2500 - Wollongong; 2170 - Liverpool	https://www.anzctr.org.au/TrialSearch.aspx?searchTxt=ACTRN12620001198910
ACTRN12621000156886	ACE-IT001	Phase 1 / Phase 2	RECRUITING	NSW	2021-02-15	2021-08-30		Ipilimumab; Ipilimumab + Nivolumab; Nivolumab; Perindopril	anti-CTLA4_monoclonal_antibody + anti-PD-1_monoclonal_antibody; anti-PD-1_monoclonal_antibody; ACE_inhibitor; anti-CTLA4_monoclonal_antibody	Ipilimumab + Nivolumab; Perindopril	ACE_inhibitor; anti-CTLA4_monoclonal_antibody + anti-PD-1_monoclonal_antibody	NONE	A pilot study of Perindopril in combination with first line Ipilimumab and Nivolumab for patients with unresectable or metastatic melanoma- ACE-IT 001	Melanoma - Metastatic; Melanoma - Unresectable	2298 - Waratah	https://www.anzctr.org.au/TrialSearch.aspx?searchTxt=ACTRN12621000156886
ACTRN12621000273886	ADELE	Phase 2	RECRUITING	NSW, NZ, QLD, SA, VIC, WA	2021-03-11	2022-06-03		Carboplatin; Carboplatin + Paclitaxel + Tislelizumab; Paclitaxel; Tislelizumab	platinum-based_antineoplastic_agent; anti-PD-1_monoclonal_antibody + platinum-based_antineoplastic_agent + taxane; anti-PD-1_monoclonal_antibody; taxane	Carboplatin + Paclitaxel + Tislelizumab	anti-PD-1_monoclonal_antibody + platinum-based_antineoplastic_agent + taxane	ANZGOG 1910/2020  CTC0299	The effect of adjuvant tislelizumab plus chemotherapy on failure free survival after post-operative pelvic chemoradiation in high risk endometrial cancer - ADELE: a randomised phase 2 trial	Endometrial Cancer	2298 - Waratah; 2250 - Gosford; 3052 - Parkville; 3199 - Frankston; 3168 - Clayton; 2065 - St Leonards; 2145 - Westmead; 4814 - Douglas; Wellington; Auckland; 6009 - Nedlands; 5042 - Bedford Park; Northland; 3121 - Richmond; 3000 - Melbourne; 4029 - Herston; 2050 - Camperdown; 5000 - Adelaide; 2031 - Randwick	https://www.anzctr.org.au/TrialSearch.aspx?searchTxt=ACTRN12621000273886
ACTRN12621000611820	PICAASO	Phase 2	RECRUITING	NSW, VIC	2021-05-21	2021-11-02		Dasatinib	YES1_inhibitor; PDGFRA_inhibitor; SRC_inhibitor; KIT_inhibitor; BCR-ABL1_inhibitor,second_generation	Dasatinib	BCR-ABL1_inhibitor,second_generation; KIT_inhibitor; PDGFRA_inhibitor; SRC_inhibitor; YES1_inhibitor	Nil Known	Prostate-Specific Membrane Antigen (PSMA) Intensity Can be Altered by Androgen and phospho-SrC Obstruction	metastatic castration-resistant prostate cancer	3000 - Melbourne; 2010 - Darlinghurst	https://www.anzctr.org.au/TrialSearch.aspx?searchTxt=ACTRN12621000611820
ACTRN12621000639820	PARAGON-II	Phase 2	RECRUITING	NSW, NZ, QLD, SA, TAS, VIC, WA	2021-05-28	2022-08-04		Alpelisib; Alpelisib + Letrozole; Letrozole; Letrozole + Ribociclib; Ribociclib	PI3K_alpha_inhibitor; CDK4/6_inhibitor + aromatase_inhibitor; PI3K_alpha_inhibitor + aromatase_inhibitor; aromatase_inhibitor; CDK4/6_inhibitor	Alpelisib + Letrozole; Letrozole; Letrozole + Ribociclib	CDK4/6_inhibitor + aromatase_inhibitor; PI3K_alpha_inhibitor + aromatase_inhibitor; aromatase_inhibitor	None	The activity and tolerability of Aromatase inhibitor plus PI3KCA inhibitor or CDK4/6 inhibitor in women with hormone receptor positive recurrent/metastatic gynaecological neoplasms (PARAGON-II) .	Granulosa cell tumours; Platinum resistant high-grade epithelial cancers of fallopian tube; Low grade epithelial cancers of ovary; Other gynaecological cancers (excluding endometrial cancers); Endometrial cancer; Platinum resistant high-grade epithelial cancers of primary peritoneum; Platinum resistant high-grade epithelial cancers of ovary; Endometrial stromal sarcomas; Leiomyosarcomas	2050 - Camperdown; 4029 - Herston; 3000 - Melbourne; 2640 - Albury; 2031 - Randwick; 2500 - Wollongong; 2485 - Tweed Heads; 5042 - Bedford Park; 2145 - Westmead; 6009 - Nedlands; Auckland; 2305 - New Lambton Heights; 4101 - South Brisbane; 2065 - St Leonards; 7000 - Hobart; 3168 - Clayton	https://www.anzctr.org.au/TrialSearch.aspx?searchTxt=ACTRN12621000639820
ACTRN12621000762853	ACTRN12621000762853	Phase 1	RECRUITING	QLD	2021-06-18	2021-07-21		Cyclophosphamide; Cyclophosphamide + Fludarabine + Tisagenlecleucel; Fludarabine; Tisagenlecleucel	alkylating_agent + antimetabolite + autologous_CAR-T-cell_therapy,CD19-targeting; antimetabolite; alkylating_agent; autologous_CAR-T-cell_therapy,CD19-targeting	Cyclophosphamide + Fludarabine + Tisagenlecleucel; Tisagenlecleucel	alkylating_agent + antimetabolite + autologous_CAR-T-cell_therapy,CD19-targeting; autologous_CAR-T-cell_therapy,CD19-targeting	None	Phase I Clinical Trial of MB.CART19.1 CD19 Chimeric Antigen Receptor (CAR) T Cells in Relapsed or Refractory CD19-Positive Haematological Malignancy	B cell blood cancers, including non-Hodgkin's lymphoma and leukaemia.	4029 - Herston; 4029 - Royal Brisbane Hospital	https://www.anzctr.org.au/TrialSearch.aspx?searchTxt=ACTRN12621000762853
